Zip Code,City,State,Household Income,White Population,Black Population,Hispanic Population,Size,Overall Crime,Violent Crime,Rent Amount,Average House Price,Price/Rent,Projected Growth (1yr)
77713,Beaumont,TX,5613,58.009275775954336%,20.913307170888334%,21.077417053157333%,7488,C-,B+,1325.6666666666667,230599.9710227307,14.495849322525189,-2.7%
94558,Napa,CA,24253,65.46401339036638%,0.9914021258637216%,33.5445844837699%,226,A-,C-,2888.569800569801,944077.5789792483,27.23601540322305,-0.2%
63122,Kirkwood,MO,16691,93.55375770661534%,4.037355948076272%,2.4088863453083946%,1949,A-,A-,1770.288888888889,462877.999470288,21.789193201531198,1.2%
78759,Austin,TX,22112,79.09676433899341%,3.9586568570046587%,16.944578804001935%,1298,B-,A-,1558.2050734945472,694428.7333869387,37.13828307964416,0.9%
40229,Louisville,KY,14888,78.96209549965023%,12.127885586962716%,8.91001891338705%,1724,A,C,1747.75,224162.0067075755,10.688123144403542,0.5%
77801,Bryan,TX,6058,52.7067994802945%,14.946946730186228%,32.346253789519274%,8181,D-,D+,1342.077922077922,213535.16944473863,13.258989780695499,-0.4%
30273,Rex,GA,5975,26.10635260528194%,65.78634308827029%,8.107304306447775%,7496,B,D+,1849.732142857143,255713.55803863224,11.520296737110751,2.6%
67401,Salina,KS,20965,85.04211723433373%,3.2402320784903336%,11.71765068717593%,1001,C,C,913.1944444444445,168024.76830985246,15.333058705081593,1.1%
68106,Omaha,NE,10191,82.97820469062363%,5.821834316641474%,11.199960992734898%,5692,C-,B-,1686.6512820512824,245194.7726926334,12.11447673969447,2.3%
80401,Golden,CO,16865,88.20089601509078%,1.209620372553643%,10.589483612355577%,1774,D+,D,2242.8714912280698,837673.6039568456,31.123554753843063,0.5%
59715,Bozeman,MT,15232,94.85164835164835%,0.8379120879120879%,4.31043956043956%,2246,C+,B,1938.8888888888887,883985.4587872424,37.9936443604832,3.2%
54935,Fond du Lac,WI,17899,89.7367913613575%,3.0273814114924797%,7.23582722715002%,1724,D+,C+,974.0,201667.3104796805,17.254218897987723,3.2%
90715,Lakewood,CA,6515,32.92653601058074%,12.823133341349044%,54.250330648070225%,6005,A+,A+,2663.873015873016,791756.940919252,24.76835220127081,1.3%
92683,Westminster,CA,27692,51.626663271152985%,1.9248318159631586%,46.448504912883855%,38,B,B,3079.3333333333335,1037988.1003567926,28.090173748560094,1.7%
08205,Galloway,NJ,11068,71.88606499331183%,8.69856007553702%,19.415374931151153%,4531,D+,B-,1808.75,308576.70192337135,14.216848740998449,4.6%
07102,Newark,NJ,6288,22.795941375422775%,49.85343855693348%,27.350620067643742%,8481,F,F,2383.321428571429,407739.9755943241,14.256713715654268,-0.2%
80211,Denver,CO,18950,74.62845882256343%,1.8583901250786874%,23.513151052357884%,2406,B-,B,2313.4495546287712,748295.0501985754,26.954519377833407,0.0%
75214,Dallas,TX,15398,76.82574728260869%,6.748188405797101%,16.426064311594203%,3145,B+,B-,1627.4612345679013,779355.4992540632,39.906506050664134,2.2%
57032,Harrisburg,SD,3305,97.61491258538845%,0.0%,2.385087414611555%,11166,A,A,1339.7777777777776,344513.3442127542,21.428512867769587,1.3%
20814,Bethesda,MD,13770,82.23857268117875%,7.125157256681026%,10.636270062140216%,3605,A-,C+,2923.092261904762,857032.2034812636,24.432807414558518,0.5%
33955,Punta Gorda,FL,4894,87.65781043904278%,1.5639721123045034%,10.778217448652724%,10561,C-,D+,3066.527777777778,408815.59556885745,11.109622598003282,1.8%
92694,Ladera Ranch,CA,11538,86.67783244356049%,1.144492131616595%,12.177675424822917%,4450,C-,D+,3455.0,1270721.8997859138,30.649346352771676,1.1%
02124,Boston,MA,19166,22.92746373186593%,55.06353176588294%,22.009004502251127%,581,D-,F,3036.09595959596,637710.7281093006,17.503584004916366,1.1%
85381,Peoria,AZ,10646,76.3607370659107%,3.065201984408221%,20.574060949681076%,4415,B+,A+,1629.3989262371615,467419.5324570251,23.905519438818274,3.0%
64068,Liberty,MO,13691,90.45619235836627%,3.9388449714536673%,5.604962670180061%,2276,A,A,1271.0249999999999,312032.1995993412,20.458042367337466,1.4%
33073,Coconut Creek,FL,11669,59.252030653540366%,12.898596481157258%,27.849372865302374%,2766,F,F,2558.1106060606057,546645.2646660133,17.807584999482177,2.3%
11937,East Hampton,NY,8336,64.44808146935806%,3.055100927441353%,32.49681760320058%,6137,C+,B,38631.34248013195,1772771.9491610525,3.824122753160828,-1.2%
92703,Santa Ana,CA,13524,20.806507385025768%,0.6471159704269649%,78.54637664454727%,309,C-,C,2606.0,785004.7052918201,25.102478424527376,1.5%
98367,Port Orchard,WA,11738,91.0871033085753%,1.226056363054835%,7.686840328369877%,3580,A+,A,2121.3611111111113,581997.8427953104,22.86259514182366,1.1%
20006,Washington,DC,735,69.97607655502392%,15.07177033492823%,14.952153110047847%,23188,F,F,2119.388888888889,255624.72094679196,10.051038858690605,-0.3%
17566,Quarryville,PA,4240,95.44567890764142%,1.0770926978203714%,3.477228394538207%,8635,A,A-,1300.0,370569.1222006574,23.75443091029855,1.5%
20109,Manassas,VA,14732,43.98508715426207%,15.069001190685327%,40.945911655052605%,1633,F,F,2021.731884057971,424970.09248078475,17.51675118380003,0.3%
85020,Phoenix,AZ,16578,68.50292564578278%,5.160553731982303%,26.33652062223491%,3053,C,B,1503.908424908425,420275.1166099124,23.287938151082543,3.1%
95126,San Jose,CA,15432,51.25016193807488%,6.947143412359114%,41.80269464956601%,2939,C+,B+,3025.164367816092,1275764.1370645605,35.143107997620206,-0.3%
44303,Akron,OH,3928,80.71204474150866%,17.473741645068884%,1.8142136134224527%,11748,D-,D-,795.0,227706.85752176607,23.868643346097073,1.8%
92107,San Diego,CA,13653,82.79227521284696%,2.0038762372810965%,15.203848549871946%,3605,B,B+,2739.34126984127,1500195.6378573824,45.63735980293755,2.8%
66205,Roeland Park,KS,6069,87.79191616766468%,1.3997005988023952%,10.808383233532934%,8221,B,A,1961.388888888889,359832.2445602529,15.288156545542538,2.3%
80602,Thornton,CO,13196,74.29612203081126%,2.3854696314284993%,23.31840833776024%,2416,B+,A+,2930.555555555555,663786.2042758845,18.87543708841378,0.0%
33144,Miami,FL,9296,35.6418488508383%,0.8357539621872292%,63.522397186974466%,3972,D,C-,2851.3611111111113,614358.1484716324,17.95511349759761,3.0%
11971,Southold,NY,2515,86.53471771576898%,0.4380272550292018%,13.027255029201818%,13680,A-,B+,22166.666666666668,1016397.4311952869,3.821042974418372,0.0%
23453,Virginia Beach,VA,12980,60.36839387157858%,29.147873988638317%,10.483732139783095%,2778,B,A+,1873.8111111111111,348491.66066222085,15.498345350632142,1.2%
55317,Chanhassen,MN,8225,93.92049487881555%,1.8760774769293176%,4.203427644255147%,5993,D-,B,1956.8444444444442,499569.79525298066,21.274463787488674,-0.7%
06850,Norwalk,CT,7721,55.41195476575121%,17.645526082651518%,26.94251915159727%,6099,C-,D+,2453.7578347578346,569231.6663086518,19.331969732485515,3.0%
